sample_id,filepath,observed_poisoned_label,clean_label_eval_only,is_adversarially_flipped_eval_only,attack_target_eval_only,attack_score_eval_only,attack_gradient_conflict_eval_only,attack_target_plausibility_eval_only,reliability,loss_clean_signal,consistency_clean_signal,proto_clean_signal,grad_clean_signal,teacher_conf
0,/content/Dataset/ADI/ADI-HARECPIR.jpg,0,0,0,4,1.0846717,0.823068,1.0,0.7308559,0.556842,0.9813659,0.55875206,1.0,0.30983064
1,/content/Dataset/ADI/ADI-AKAKEKAC.jpg,0,0,0,5,1.1006529,0.831887,1.0,0.77576035,0.6248644,0.9877512,0.6380303,1.0,0.31502718
2,/content/Dataset/ADI/ADI-FCVPDHMY.jpg,0,0,0,5,1.0987406,0.83244526,1.0,0.7154992,0.47926316,0.99038935,0.5987171,0.9999998,0.30419064
3,/content/Dataset/STR/STR-SPKRDEVL.jpg,7,7,0,5,0.92120117,0.7655649,1.0,0.76857406,0.66091645,0.986138,0.56010276,1.0,0.26804975
4,/content/Dataset/ADI/ADI-ICVPFDIT.jpg,0,0,0,4,1.0847332,0.82333565,1.0,0.77710587,0.6293445,0.98531914,0.63908607,1.0,0.3153835
5,/content/Dataset/BACK/BACK-HTNCGCRG.jpg,1,1,0,3,1.0657252,0.8092607,1.0,0.7827684,0.6670588,0.9864621,0.6080217,1.0,0.29535887
6,/content/Dataset/STR/STR-QQLSFSDV.jpg,7,7,0,5,0.92511153,0.77130365,1.0,0.79733026,0.69478166,0.9865112,0.6274178,0.99999994,0.2711543
7,/content/Dataset/BACK/BACK-MCDTSMNC.jpg,1,1,0,3,1.0665858,0.8102126,1.0,0.5297555,0.22821523,0.98460746,0.21188895,0.999932,0.28374922
8,/content/Dataset/LYM/LYM-RNNPDSRK.jpg,3,3,0,2,1.0477808,0.80551034,1.0,0.68127227,0.4711711,0.986832,0.475984,1.0,0.27834657
9,/content/Dataset/TUM/TUM-YGIEGAEP.jpg,7,8,1,7,1.0134319,0.86002755,1.0,0.22316307,0.007857001,0.9513157,0.120599955,0.0,0.19912872
10,/content/Dataset/TUM/TUM-WQQDTCQN.jpg,8,8,0,6,0.9852311,0.78874487,1.0,0.6606168,0.4301155,0.9882655,0.44976088,0.9999152,0.25923496
11,/content/Dataset/BACK/BACK-IASGSSCA.jpg,1,1,0,8,1.0656604,0.81561744,0.9997559,0.6451314,0.37006137,0.98611015,0.4735518,0.99999964,0.28786108
12,/content/Dataset/BACK/BACK-DSDPYDTV.jpg,1,1,0,3,1.0655541,0.8092432,1.0,0.81727076,0.65629756,0.9867892,0.76083624,0.99999833,0.2950614
13,/content/Dataset/MUS/MUS-SILDTWIL.jpg,7,5,1,7,0.96313494,0.7900172,1.0,0.57149494,0.3201174,0.9847077,0.25004932,0.99999994,0.24743545
14,/content/Dataset/DEB/DEB-RHITWQEA.jpg,2,2,0,3,1.0171318,0.7901279,1.0,0.76729125,0.63348985,0.98584914,0.5936,1.0,0.296763
15,/content/Dataset/LYM/LYM-RFHMPADC.jpg,3,3,0,2,1.0476154,0.80545413,1.0,0.7151645,0.5369927,0.9860878,0.5199978,1.0,0.2897491
16,/content/Dataset/MUS/MUS-SPYRQYFW.jpg,7,5,1,7,0.9618381,0.7882641,1.0,0.62786543,0.4115135,0.98453385,0.34771582,1.0,0.24841674
17,/content/Dataset/NORM/NORM-WPQWVCAS.jpg,6,6,0,8,0.97240394,0.7764677,1.0,0.72003025,0.5299367,0.98391473,0.55191237,0.9989569,0.26611
18,/content/Dataset/DEB/DEB-VVLLCYKP.jpg,2,2,0,3,1.0180461,0.79136026,1.0,0.7075171,0.5132328,0.9837855,0.524514,1.0,0.29073077
19,/content/Dataset/MUC/MUC-LEFGMGRS.jpg,4,4,0,3,1.0174814,0.7930351,1.0,0.7645835,0.6326773,0.984752,0.5847842,1.0,0.30390173
20,/content/Dataset/LYM/LYM-PRKPKPRT.jpg,3,3,0,2,1.0481782,0.8073841,1.0,0.7620922,0.59702075,0.98756063,0.62249124,0.9999999,0.30075383
21,/content/Dataset/BACK/BACK-KDRGVWNY.jpg,0,1,1,0,1.0767486,0.81335616,1.0,0.65476644,0.54576623,0.9797488,0.27119392,1.0,0.30901316
22,/content/Dataset/TUM/TUM-WQMQQWTN.jpg,8,8,0,6,0.98580325,0.7887539,1.0,0.7579517,0.60929054,0.98772556,0.58861965,1.0,0.27603734
23,/content/Dataset/MUS/MUS-PACLHCYE.jpg,7,5,1,7,0.9680365,0.8104141,1.0,0.6657765,0.49824125,0.9854169,0.37723464,1.0,0.2549657
24,/content/Dataset/BACK/BACK-KHCGTPAQ.jpg,1,1,0,4,1.0657014,0.83592653,1.0,0.20500022,0.00033535014,0.98282605,0.03327057,0.0,0.24585399
25,/content/Dataset/BACK/BACK-KMWCKCPF.jpg,1,1,0,0,1.0749316,0.81064856,1.0,0.71023667,0.50669354,0.9858933,0.54286104,1.0,0.29125175
26,/content/Dataset/LYM/LYM-RKEGNKVG.jpg,3,3,0,2,1.0480283,0.8058565,1.0,0.7955373,0.6625683,0.9859095,0.6658259,1.0,0.31393388
27,/content/Dataset/ADI/ADI-CFEFAPGA.jpg,0,0,0,4,1.0853417,0.8242953,1.0,0.7265944,0.5415389,0.98805094,0.5577823,1.0,0.30870262
28,/content/Dataset/MUC/MUC-RYKWPIVG.jpg,4,4,0,7,0.9929592,0.7950504,1.0,0.7786116,0.6565328,0.98452586,0.60767967,1.0,0.30918217
29,/content/Dataset/MUC/MUC-VQVKCGNF.jpg,3,4,1,3,1.0181865,0.79345465,1.0,0.42839944,0.006173704,0.9839788,0.117771454,1.0,0.3131107
30,/content/Dataset/STR/STR-VTQAHWHG.jpg,7,7,0,5,0.9191729,0.8261238,1.0,0.7182009,0.5298664,0.9842008,0.5436306,0.9999992,0.25737298
31,/content/Dataset/DEB/DEB-TIDLEKRH.jpg,2,2,0,3,1.017926,0.79254395,1.0,0.38820586,0.33681148,0.98531365,0.29241028,0.0007828269,0.2820396
32,/content/Dataset/ADI/ADI-ESHEGRQH.jpg,0,0,0,5,1.0927454,0.83054733,0.97874475,0.7529724,0.59309196,0.9868285,0.5920981,1.0,0.31255567
33,/content/Dataset/DEB/DEB-VGAETLSK.jpg,2,2,0,3,1.0179646,0.7922831,1.0,0.79638106,0.66084146,0.9864791,0.6711629,1.0,0.29824418
34,/content/Dataset/MUS/MUS-NTCYARKC.jpg,5,5,0,7,0.7840496,0.88774216,1.0,0.6081946,0.3416097,0.9881205,0.3640285,0.99999994,0.25445762
35,/content/Dataset/LYM/LYM-QFSTRAIN.jpg,4,3,1,4,1.0587494,0.8152489,1.0,0.48747563,0.120407216,0.9869284,0.19178961,1.0,0.27905482
36,/content/Dataset/LYM/LYM-ADHELESY.jpg,4,3,1,4,1.0564659,0.8146691,0.99330866,0.4407832,0.03724166,0.98665303,0.121671975,1.0,0.30520555
37,/content/Dataset/STR/STR-WGCASTHK.jpg,7,7,0,5,0.91944855,0.76320577,1.0,0.7791548,0.6624399,0.98595136,0.6004421,1.0,0.26818514
38,/content/Dataset/MUS/MUS-TAHYESPG.jpg,5,5,0,7,0.95472723,0.77607447,1.0,0.80353385,0.6734488,0.98638505,0.6821992,1.0,0.3037745
